first time last
2017-7-1,14,62,3
2017-7-2,165,61,5
2017-7-3,1,6,6
2017-7-4,34,45,8
2017-7-15,3,7
2017-7-6,7,8,1
2017-7-7,8,9,2
2017-7-8,345,345,3
2017-7-12,34,56,4
2017-7-9,3,4,6
2017-7-10,66,55,8
2017-7-11,43,56,7
2017-7-12,44,23,4
2017-7-13,3,4,5
2017-7-14,6,7,5
2017-7-15,8,9,15
2017-7-16,2,14,9
2017-7-17,76,55,58
2017-7-18,8,43,4
2017-7-19,54,32,13
2017-7-20,689,98,45
2017-7-21,6,7,4
2017-7-22,766,54,45
2017-7-23,345,32,25
2017-7-24,435,65,50
2017-7-25,545,34,22
2017-7-26,43,31,24
2017-7-27,326,76,71
2017-7-28,34,5,1
2017-7-29,65,76,34
2017-7-30,36,76,11
2017-7-31,7,879,3
